Species,BodyWt,BrainWt,NonDreaming,Dreaming,TotalSleep_hrs_day,LifeSpan_years,Total_awake_hours_day,Total_awake_years,percent_of_life_awake,Gestation,Predation,Exposure,Danger
Roedeer,15,98,NA,NA,3,17,21,15,1,150,5,5,5
Horse,521,655,2,1,3,46,21,40,1,336,5,5,5
Donkey,187,419,NA,NA,3,40,21,35,1,365,5,5,5
Africanelephant,"6,654","5,712",NA,NA,3,39,21,33,1,645,3,5,3
Goat,28,115,3,1,4,20,20,17,1,148,5,5,5
Sheep,56,175,3,1,4,20,20,17,1,151,5,5,5
Asianelephant,"2,547","4,603",2,2,4,69,20,58,1,624,3,5,4
Cow,465,423,3,1,4,30,20,25,1,281,5,5,5
Treehyrax,2,12,5,1,5,8,19,6,1,200,3,1,3
Rockhyrax(Procaviahab),4,21,5,1,5,6,19,5,1,225,3,2,3
Genet,1,18,5,1,6,34,18,25,1,NA,1,2,1
Grayseal,85,325,5,2,6,41,18,30,1,310,1,3,1
Braziliantapir,160,169,5,1,6,30,18,23,1,392,4,5,4
Rockhyrax(Heterob),1,12,6,1,7,7,17,5,1,225,2,2,2
Human,62,"1,320",6,2,8,71,16,47,1,,,,
Guineapig,1,6,7,1,8,8,16,5,1,68,5,3,4
Africangiantpouchedrat,1,7,6,2,8,5,16,3,1,42,3,1,3
Pig,192,180,7,2,8,27,16,18,1,115,4,4,4
Rabbit,3,12,8,1,8,18,16,12,1,31,5,5,5
EasternAmericanmole,0,1,6,2,8,4,16,2,1,42,1,1,1
Echidna,3,25,9,0,9,50,15,32,1,28,2,2,2
Lessershort-tailedshrew,0,0,8,1,9,3,15,2,1,22,5,2,4
Rhesusmonkey,7,179,8,1,10,29,14,17,1,164,2,3,2
Chimpanzee,52,440,8,1,10,50,14,30,1,230,1,1,1
Baboon,11,180,9,1,10,27,14,16,1,180,4,4,4
Redfox,4,50,7,2,10,10,14,6,1,52,1,1,1
Vervet,4,58,10,1,10,24,14,14,1,210,4,3,4
Starnosedmole,0,1,8,2,10,4,14,2,1,NA,3,1,2
Galago,0,5,10,1,11,10,13,6,1,120,2,2,2
Europeanhedgehog,1,4,7,4,11,6,13,3,1,42,2,2,2
Jaguar,100,157,NA,NA,11,22,13,12,1,100,1,1,1
Patasmonkey,10,115,10,1,11,20,13,11,1,170,4,4,4
Slowloris,1,13,NA,NA,11,13,13,7,1,90,2,2,2
Gorilla,207,406,NA,NA,12,39,12,20,1,252,1,4,1
ArcticFox,3,45,NA,NA,13,14,12,7,0,60,1,1,1
Raccoon,4,39,NA,NA,13,14,12,7,0,63,2,2,2
Chinchilla,0,6,11,2,13,7,12,3,0,112,5,4,4
Muskshrew,0,0,11,2,13,2,11,1,0,30,4,1,3
Graywolf,36,120,NA,NA,13,16,11,7,0,63,1,1,1
Rat,0,2,11,3,13,5,11,2,0,21,3,1,3
Mouse,0,0,12,1,13,3,11,1,0,19,4,1,3
Tenrec,1,3,11,2,13,5,11,2,0,60,2,1,2
Phanlanger,2,11,12,2,14,13,10,6,0,17,2,1,2
Groundsquirrel,0,4,10,3,14,9,10,4,0,28,5,1,3
Goldenhamster,0,1,11,3,14,4,10,2,0,16,3,1,2
Cat,3,26,11,4,15,28,10,11,0,63,1,2,1
Treeshrew,0,3,13,3,16,2,8,1,0,46,3,2,2
Owlmonkey,0,16,15,2,17,12,7,4,0,140,2,2,2
Nine-bandedarmadillo,4,11,14,3,17,7,7,2,0,120,2,1,1
Giantarmadillo,60,81,12,6,18,7,6,2,0,NA,1,1,1
NAmericanopossum,2,6,14,6,19,5,5,1,0,12,2,1,1
Wateropossum,4,4,13,7,19,3,5,1,0,14,2,1,1
Bigbrownbat,0,0,16,4,20,19,4,3,0,35,1,1,1
Littlebrownbat,0,0,18,2,20,24,4,4,0,50,1,1,1
