Company_name,NIPE_MM,Sector,Industry,Exchange,Market_Cap,Employees_Full_Time,Net_income_MM,Clean_market_cap
Host Hotels & Resorts Inc,2675,Financials,Real Estate Investment Trusts (REITs),NYSE,$11.8B,240,"$642,000",12
Gilead Sciences Inc,2168,Health Care,Biotechnology,NASDAQ,$118.9B,8000,"$17,341,000",119
Realty Income Corp.,1967,Financials,Real Estate Investment Trusts (REITs),NYSE,$14.9B,132,"$259,665",15
Welltower Inc,1719,Financials,Real Estate Investment Trusts (REITs),NYSE,$24.6B,476,"$818,344",25
Equity Residential,1221,Financials,Real Estate Investment Trusts (REITs),NYSE,$24.9B,3500,"$4,272,041",25
Kimco Realty Corp,1217,Financials,Real Estate Investment Trusts (REITs),NYSE,$11.8B,546,"$664,604",12
Reynolds American Inc,1128,Consumer Staples,Tobacco,NYSE,$70.8B,5700,"$6,429,000",71
Ventas Inc.,973,Financials,Real Estate Investment Trusts (REITs),NYSE,$21B,466,"$453,341",21
Franco-Nevada Corp,848,Materials,Metals & Mining,NYSE,$11.1B,29,"$24,600",11
General Growth Properties Inc,799,Financials,Real Estate Investment Trusts (REITs),NYSE,$24.7B,1700,"$1,358,624",25
Boston Properties Inc,762,Financials,Real Estate Investment Trusts (REITs),NYSE,$19.8B,765,"$583,119",20
Altria Group Inc,618,Consumer Staples,Tobacco,NYSE,$122.7B,8800,"$5,440,000",123
Visa Inc,607,Information Technology,IT Services,NYSE,$184.2B,11300,"$6,857,000",184
CME Group Inc,508,Financials,Diversified Financial Services,NASDAQ,$31B,2530,"$1,284,400",31
Biogen Inc,503,Health Care,Biotechnology,NASDAQ,$60.2B,7350,"$3,695,359",60
Magellan Midstream Partners LP,499,Energy,"Oil, Gas & Consumable Fuels",NYSE,$16.4B,1640,"$819,122",16
Pembina Pipeline Corp,494,Energy,"Oil, Gas & Consumable Fuels",NYSE,$11.2B,718,"$354,822",11
Macerich Co (The),489,Financials,Real Estate Investment Trusts (REITs),NYSE,$11.7B,997,"$487,562",12
Federal Realty Investment Trust,481,Financials,Real Estate Investment Trusts (REITs),NYSE,$10.6B,436,"$209,678",1
ProLogis Inc,467,Financials,Real Estate Investment Trusts (REITs),NYSE,$23.8B,1555,"$725,623",24
Apple Inc,461,Information Technology,"Technology Hardware, Storage & Peripherals",NASDAQ,$513.5B,110000,"$50,678,000",514
Amgen Inc,403,Health Care,Biotechnology,NASDAQ,$118.9B,17900,"$7,216,000",119
Valero Energy Corp,395,Energy,"Oil, Gas & Consumable Fuels",NYSE,$27.8B,10103,"$3,990,000",28
Facebook Inc,369,Information Technology,Internet Software & Services,NASDAQ,$336.3B,12691,"$4,686,000",336
Cenovus Energy Inc,365,Energy,"Oil, Gas & Consumable Fuels",NYSE,$13.2B,1694,"$617,853",13
Simon Property Group Inc.,353,Financials,Real Estate Investment Trusts (REITs),NYSE,$62.2B,5000,"$1,766,244",62
LyondellBasell Industries NV,334,Materials,Chemicals,NYSE,$35.4B,13000,"$4,342,000",35
MasterCard Inc,332,Information Technology,IT Services,NYSE,$106.9B,11300,"$3,747,000",107
