,Name,Clean_launch_year
162,Honey Smacks,1953
163,MultiGrain Dark Chocolate Crunch Cheerios (201,2014
164,MultiGrain Dark Chocolate Crunch Cheerios (201,2014
165,S'mores Krave,2014
166,S'mores Krave,2014
167,Poppin' Pebbles,2014
168,Poppin' Pebbles,2014
169,Monsters University Cereal,2013
170,Rocky Mountain Chocolate Cereal,2013
171,Scoob,2013
172,Vanilla Chex (201,2013
173,Vanilla Chex (201,2013
174,Chocolate Toast Crunch,2013
175,Hershey's Cookies 'n' Creme Cereal,2013
176,Cinnamon Jacks,2013
177,Froots Loops Treasures Cereal,2013
178,Sesame Street Cereal,2013
179,Cookie Crisp Brownie (201,2013
180,Cookie Crisp Brownie (201,2013
181,Apple Cinnamon Chex (201,2012
182,Apple Cinnamon Chex (201,2012
183,Krave U.S Version - Kellogg's - (201,2012
184,Chocolate Krave - (201,2012
185,Double Chocolate Krave - (201,2012
186,Chocolate Krave - (201,2012
187,Double Chocolate Krave - (201,2012
188,MultiGrain Peanut Butter Crunch Cheerios (201,2012
189,MultiGrain Peanut Butter Crunch Cheerios (201,2012
190,Frosted Toast Crunch,2012
191,Honey Bunches of Oats Fruit Blends (201,2012
192,Honey Bunches of Oats Fruit Blends (201,2012
193,Cinnamon Burst Cheerios (201,2011
194,Cinnamon Burst Cheerios (201,2011
195,Mini Cinnamon Churros,2011
196,Limited Edition Smurfs Pebbles,2011
197,Pebbles Boulders,2011
198,Limited Edition Smurfs Pebbles,2011
199,Pebbles Boulders,2011
200,Chocolate Cheerios- (2010,2010
201,Chocolate Cheerios- (2010,2010
202,Apple Jacks Apple Clones,2010
203,Apple Jacks Apple Clones,2010
204,Marshmallow Pebbles,2010
205,Marshmallow Pebbles,2010
206,Honey Bunches of Oats with Peaches (2004,2004
207,Cinnamon Chex (2009,2009
208,Cinnamon Chex (2009,2009
209,Honey Kix - (200,2009
210,Honey Kix - (200,2009
211,Honey Bunches of Oats with Peaches (2004,2004
212,Oreo O's,1998
213,Cocoa Frosted Flakes (199,1997
214,Razzle Dazzle Rice Krispies,1997
215,Razzle Dazzle Rice Krispies,1997
216,Millenios (Cheerios) (199,1999
217,Millenios (Cheerios) (199,1999
218,Cinna-Crunch Pebbles,1998
219,Banana Nut Cheerios (2008,2008
